Time,proton_density,proton_bulk_speed,proton_thermal,alpha_density,alpha_bulk_speed,alpha_thermal,proton_xvelocity,proton_yvelocity,proton_zvelocity,spacecraft_xpos,spacecraft_ypos,spacecraft_zpos,composite_flux_th1,composite_flux_th2,composite_flux,alpha_proton_ratio,velocity_magnitude
2025-07-03 00:10:21.617,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-4.389186641419805,-8.62315575670987,1275554.4792453863,251714.5683795648,-97240.67938770336,1544613.379511222,2566666.666666667,4111280.046177889,1.0,1e+31
2025-07-03 00:10:26.618,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-10.603898216767448,-6.5574263996894615,1275554.4793802043,251715.9174208181,-97240.57815069106,1544613.379511222,2566666.666666667,4111280.046177889,1.0,1e+31
2025-07-03 00:10:31.618,14.243225810071346,347.1399553305646,33.32437400079514,0.2675543662856621,343.49762142529136,20.203906221570005,-347.1399553305646,-10.552901551842652,-7.125990052391067,1275554.4795154568,251717.2664331958,-97240.476915123,1544613.379511222,2566666.666666667,4111280.046177889,0.018784674894115286,347.37341874745687
2025-07-03 00:10:36.618,13.63034430906167,346.840639705088,32.6484140525359,0.2471192517655617,343.6017296081571,20.27326951836032,-346.840639705088,-0.1082462355627242,-7.560314485426659,1275554.4796510728,251718.6154436954,-97240.37567894388,1544613.379511222,2566666.666666667,4111280.046177889,0.018130081395029245,346.92304539105027
2025-07-03 00:10:41.618,13.439288195771242,347.1238478092405,33.21788075599027,0.2328638264967966,343.7368364066413,19.8098432122646,-347.1238478092405,-9.746059526817175,-6.61487928109478,1275554.4797872796,251719.96445227647,-97240.27444229502,1544613.379511222,2566666.666666667,4111280.046177889,0.01732709523783177,347.32363585292677
2025-07-03 00:10:46.618,13.331695729022393,346.9874076666728,32.796916176463206,0.2260672069897704,343.93610963035684,20.35537412390956,-346.9874076666728,-9.621684683143291,-9.089402038376882,1275554.4799238092,251721.31351298868,-97240.17320099974,1544613.379511222,2566666.666666667,4111280.046177889,0.01695712320358723,347.2397660476042
2025-07-03 00:10:51.618,13.170974714589375,347.55687294957534,33.28104671804537,0.2323968833641657,344.2233202698891,20.444114278740585,-347.55687294957534,-1.1162751124772363,-6.400787202677634,1275554.4800607758,251722.66254476932,-97240.0719611672,1544613.379511222,2566666.666666667,4111280.046177889,0.017644622998686778,347.6176003619897
2025-07-03 00:10:56.618,12.839212742871547,348.00020531385513,33.0057863078941,0.2211555335171494,344.19903130332466,19.176105070534923,-348.00020531385513,-2.00553698285988,-7.990883637578662,1275554.4801981929,251724.01152076825,-97239.97072482576,1544613.379511222,2566666.666666667,4111280.046177889,0.017225007322971345,348.0977151582358
2025-07-03 00:11:01.618,13.168098975452711,349.13009381010727,32.5509600137108,0.2309739690528826,345.04566376573763,19.23925004811568,-349.13009381010727,1.6198059514253096,-8.053900839670597,1275554.480336116,251725.36054877847,-97239.86948391916,1544613.379511222,2566666.666666667,4111280.046177889,0.017540418665097545,349.226733647225
2025-07-03 00:11:06.618,12.71322320593213,349.08220787289616,32.622366317259925,0.2559283298173971,345.92276251147376,19.892087012471425,-349.08220787289616,-12.532568843277351,-5.405940318819212,1275554.4804744092,251726.70954795464,-97239.76824442112,1544613.379511222,2566666.666666667,4111280.046177889,0.02013087677859523,349.3489334833556
2025-07-03 00:11:11.618,13.28004327671538,350.3376268328793,33.46087781403398,0.2419148728090303,346.03556270759333,19.358050738215617,-350.3376268328793,-6.244102924372996,-4.190411446648263,1275554.4806131113,251728.0585452476,-97239.66700435644,1544613.379511222,2566666.666666667,4111280.046177889,0.018216422022749937,350.41832307160564
2025-07-03 00:11:16.618,13.80839325042336,350.8098559116923,35.028546342161256,0.2385052379404227,345.67374485357465,21.018818438765464,-350.8098559116923,-7.6818672239514,-7.753917297399759,1275554.480752304,251729.40759462383,-97239.56575969612,1544613.379511222,2566666.666666667,4111280.046177889,0.01727248301920357,350.9796138271903
2025-07-03 00:11:21.618,14.004684274730453,349.8070982870268,33.87214459798999,0.2348519482672809,345.9636697305539,20.00291145515248,-349.8070982870268,-1.0912610900467214,-4.624664443270042,1275554.4808919462,251730.7565881456,-97239.4645185183,1544613.379511222,2566666.666666667,4111280.046177889,0.016769528227854397,349.8393694025433
2025-07-03 00:11:26.618,13.556985855140498,350.1312241099002,33.95751955577689,0.2329331710940212,345.1988572902413,20.21294760724173,-350.1312241099002,-8.796004112219272,-7.741932743377404,1275554.48103194,251732.10557978772,-97239.36327683012,1544613.379511222,2566666.666666667,4111280.046177889,0.01718178167204462,350.3272488797329
2025-07-03 00:11:31.618,13.389386185146885,350.05547749107865,33.28193680575125,0.2462339701140887,345.77396247137324,20.03782692093333,-350.05547749107865,-4.632944152460816,-6.05823932090297,1275554.4811724448,251733.45456953457,-97239.26203456294,1544613.379511222,2566666.666666667,4111280.046177889,0.01839023587109923,350.1385493725251
